video_id,channel_id,publish_time,status
yQ68ik-yPos,UCu5a1hEVqOfeAhaLDkE9l1Q,2026-02-26T16:26:41Z,rejected
sIF8b0QUwYg,UCHwVVw1jZdbmeZm5RRmxnAg,2026-02-26T16:26:18Z,rejected
WO1p1Xwqnto,UCnc5F9nA6aCUnq5oZr_QeMg,2026-02-26T16:24:48Z,rejected
gka74v1EwGY,UCwNG9l5vRFeo5hlkKMByVqA,2026-02-26T16:23:53Z,rejected
ULvjg1ox99I,UCc6TgL_PICrupEX2tAk_yNA,2026-02-26T16:21:47Z,rejected
j2KCmu8Bb-k,UCn4jBGi7xmbOrrqVnpVUMkA,2026-02-26T16:20:39Z,rejected
6TClmEZhkRk,UCXgGSY6fVkTZ3nIyEB9iiaw,2026-02-26T16:20:53Z,rejected
A-k1iErnWPs,UCsIeAjXsLHnsvMwQGB_J8eQ,2026-02-26T16:19:11Z,waiting_final
19yki_lj0C0,UCYuuYxKws_y8zsUCuTP_jfw,2026-02-26T16:19:49Z,rejected
Oj70M7WQP2k,UCK_r4PtgBk2XPdQ4gC3xREw,2026-02-26T16:18:17Z,waiting_final
tGvIPionf00,UCzwSJtXLLiJx9o0emSXZG4A,2026-02-26T16:17:51Z,rejected
OUrqECRxffY,UCqyQTVvjPsruEp6hpwcemxw,2026-02-26T16:17:35Z,rejected
5LREWBPfDGQ,UCYzzeJdPy-9xNiseIeY7Aiw,2026-02-26T16:16:25Z,waiting_final
iHUSn-VgaXc,UC202BUP6ZUPkt7Siup9ApeQ,2026-02-26T16:14:43Z,rejected
GtDeX8X0yZc,UCtr1LxWsA9ZbIz3rUm1bMqQ,2026-02-26T16:15:48Z,rejected
SiyJBK5ZJAs,UCcbCQA4IOpj-L6F2jneXikQ,2026-02-26T16:15:07Z,waiting_final
kmN9SakhuX8,UCm-UKAZqttFSVvrbriOtJMA,2026-02-26T16:15:59Z,rejected
gouNhE4Nq88,UCaYB3mNimpB8HBAhwErHnXA,2026-02-26T16:12:52Z,rejected
4fd9dgAXxsY,UCf8R0VFn5ovqXGgTBHPds0Q,2026-02-26T16:12:44Z,rejected
IQEbtzb394c,UCiSDQQPIBAPCTV4kWQ5lhkQ,2026-02-26T16:12:00Z,rejected
MzXwJLeG_7A,UCH5RGX6pa2y02_jJSxHkFHw,2026-02-26T16:10:00Z,rejected
VLko5oBWx70,UCDvVyzHmiJKoZkx8Tdy346w,2026-02-26T16:11:07Z,waiting_final
SZKpG_yY1Hc,UCne7Ns4cHdxn_PIgEU8l-xA,2026-02-26T16:08:39Z,rejected
8t826XvV7vw,UCrnHwuTQaDobP-pujZSBZ_g,2026-02-26T16:08:24Z,waiting_final
1IP-AFdx2Fg,UCbPLhGnozfLMXsEQnA1ep3g,2026-02-26T16:07:08Z,rejected
cl5AZBsBfI4,UC0T-guUrnmE6uAIZdF8gjiQ,2026-02-26T16:04:42Z,rejected
aNoN8qQXvgA,UCIi_MXWjDHYtubHJZ7HLKEA,2026-02-26T16:04:45Z,rejected
EvG41hh4p-U,UCfnpLn29FfmlP5WjoLexLng,2026-02-26T16:03:09Z,rejected
85JkfRn6VGM,UCpHh8dOXaC8XlYACQSoM6Mw,2026-02-26T16:02:53Z,rejected
yLgCet0JqJs,UC8CTq9WR81sjlhsbbTbFtCQ,2026-02-26T16:01:23Z,waiting_final
is1z5gd46DM,UCjg-XZIou0FXmGZ4SiJ8tqQ,2026-02-26T16:01:05Z,waiting_final
0FgWJgG6K-0,UCMFr3-Ybuxf9l8cr0ViEmJA,2026-02-26T16:02:42Z,rejected
ZHoTgzLAJcI,UCJsmiAiaXEF38IygRiVragQ,2026-02-26T16:01:10Z,rejected
PaSb5lK3n_c,UCh663wLYlrO3b6QbtJO-KJA,2026-02-26T16:00:38Z,rejected
58yGkG7voGo,UCcMVfpusb8WGLe7vesXHTtw,2026-02-26T16:00:15Z,rejected
Fw5vlcD7VCY,UCt0-p3_S_xP_ifJIlS9HE5Q,2026-02-26T16:00:20Z,waiting_final
gg7FG6ckMqc,UC6tbtgvviPNcyqr3k0vptTQ,2026-02-26T15:58:21Z,rejected
Lu0nkNQaWZ4,UCX8vrba-XZ_17LX1lzWfQog,2026-02-26T15:58:53Z,waiting_final
pTxmKlIwxCs,UCr2EqR-wafEDud4BBXf8ziA,2026-02-26T15:55:10Z,rejected
1y22olRXAz0,UC6kub3ePQR9Tq2PlVNw0EIw,2026-02-26T15:49:35Z,waiting_final
GaEWv5ML9Ko,UCQ6olTXLvSTqDYJvpeUtLRg,2026-02-26T15:49:44Z,rejected
xonrONYPzRI,UCayg81uIR_k-pmCcXhLocRw,2026-02-26T15:48:08Z,rejected
UWWSC2-2V_8,UCRdmfomhBcd-3S8RXAKE4HA,2026-02-26T15:46:34Z,rejected
3IKsRKbwYLk,UCCSHrUoeXxxBBZgm64okr1A,2026-02-26T15:46:04Z,waiting_final
fj54CySPO5A,UC7rzm-kWikUTjKC5Skfodtw,2026-02-26T15:42:41Z,rejected
VR6fwDbKRLw,UCqJrfpqMEKaIl4nnmIOjUUQ,2026-02-26T15:43:48Z,rejected
fWocmEI5C2s,UCoGeAPYfUZOAKHCTVBVzaWQ,2026-02-26T15:43:20Z,waiting_final
HE6tti7K_n8,UCzBW71sqeGT_3ckj54yrWYw,2026-02-26T15:43:01Z,rejected
DBe2ej3Z1RY,UCcoIvw2OqQ7Zwydu1pHAjcg,2026-02-26T15:39:52Z,waiting_final
wJ9qI-LAXTQ,UCr6BZsRqjJ5vqWEO9ap-eKQ,2026-02-26T15:40:00Z,rejected
CsMVcqslxUc,UCm3aI4yhcQR7yaCHPF9b6PQ,2026-02-26T15:40:03Z,rejected
ry-9zV9R1BI,UC1DbtUTV08zMavjFciJLObQ,2026-02-26T15:41:44Z,rejected
PiOzFCivAlI,UC6tSMlK12iOhw6o_BlHd-Wg,2026-02-26T15:40:00Z,rejected
TgwxzLExoyE,UCTzWvIoANQd-0W3M_htV_XA,2026-02-26T15:38:59Z,waiting_final
GKW3bCzO7N0,UCJp3CBQ8hf9_gULsqVGfqyQ,2026-02-26T15:36:37Z,rejected
djXlXsPJv_8,UCkR1dCiSWYJiv4YERyXXdqQ,2026-02-26T15:35:29Z,waiting_final
