video_id,hour1_views,hour1_likes,hour1_comments
xvHI9Navfv8,3874,136,1
wuw82GUUDoI,36,8,0
YzPASDbGSts,2214,258,6
sszqqtaypnU,582,12,1
qk6wXeqjXNY,1710,107,6
GjhNZW7ajj4,5189,319,15
HR_dKdj_Iqo,1175,3,0
QTuUclmcHIE,263,47,4
zK0atnvWgbw,584,16,1
5DRGcXIdzGY,951,43,3
27RRKD5CxQM,292,92,7
bZMvmYPQ_MU,527,177,15
DtSxcRIJ8Pg,1010,54,0
BPK7ewfPcn4,345,1,0
ssUXzG9Irys,421,7,0
-OZPvdZuj-k,769,24,0
3dOnrMwvPVc,1171,149,4
_3NHxsyoZJQ,380,9,0
gK_sQvZtk0I,791,41,20
KrBMD1Hlpq0,1,0,0
6HxC3E4Sz4o,316,2,0
2UpeSFYevqw,4620,1369,49
KzG9DZ8HERk,14,0,0
tf2rp3dYI0U,621,5,0
kD5fwGqQ09o,2717,22,0
9FXIROWYYvw,7,1,3
EIJv15xa9zI,5,0,0
E2U9LmY-BeY,56,0,1
uw-1_zJYZDc,1644,206,4
Kf7PtAgoeIA,1854,292,3
T7DBv7JbWHc,1519,26,1
AGOFFH25OA0,7811,107,1
pNhb9aUepBY,277,5,0
dDR3gPcgzAk,12,3,1
9LaufbiG4zo,64,2,2
25yJv1m3bCo,3018,150,3
hM9fyS9kSXg,161,7,2
b3HiNo6ZQD0,411,4,0
LlUIcMoT8rI,534,16,0
-yQl6f7ZEOk,100,4,0
uxAnXZ-Z1vc,58,4,0
t22AdbQk8DA,913,20,0
ETGGyHjsr4o,1579,6,0
VEuVXDbs0Fs,1368,16,0
Atnk_UJhtD4,3573,971,57
lsyoZwBTErI,2680,28,2
e8NfBbSUJXI,1202,25,0
Ae-bZa1nj8w,1017,0,0
f3sVYwu3cDo,100,11,1
nmEAgEh_9bk,2,0,0
FV6bO4S0Sjs,1143,94,7
Y1hAde-AwgM,120,0,0
l4sF1eQUjV8,44,15,18
_-ew4OXCCcc,641,26,0
SX7j19De-9o,886,7,0
uc7e-iHFT0A,2053,0,0
8aoi9vOI-kY,749,243,0
pZHVJZIqt0g,795,14,0
vc14Wlc64Uk,769,17,0
CxFgdw21Wlw,28,3,0
VFXNDa4aE0c,291,10,1
cB1LrvIuAJg,856,6,0
8irPQo_BEjE,246,0,0
2AXuCAOV67M,910,0,0
svF-x2R5d_U,368,70,20
Femw1dlxQV4,1824,0,1
FmIc-py2-Vw,2,0,0
GLUxh_CyzvM,47,0,0
ke589sxiQxo,416,3,0
hIX9e9He6b4,5031,2058,26
aReFmbOimXs,43,0,0
1rdfcunX9Ns,483,0,0
66bv-DPhNVw,2604,14,0
i9Gub53LY2o,435,20,0
oSvZVWLiRsQ,300,32,3
lsjcv9AdRY8,143,22,2
rNiFp_lfD-Y,601,7,1
BH3zqBppjX0,384,5,0
Ugc7ZktTd0k,1085,167,0
Vi3tSkG-2y4,720,3,0
APy9e9AT0Fc,15,7,0
xeIT2vAG8Lo,674,11,0
LzGblzrU9YI,290,2,0
uUpQkmT-b1A,562,7,0
2h66NOa42Bo,12773,76,0
va8_5IaIDHw,1546,178,18
kIqXBKCOos0,163,18,5
fxqBbVw-F-4,1824,0,1
J0Wyy9KEnXw,11003,302,1
pdOzhb6DUkA,1113,269,15
m5xapFXownM,30234,338,0
MJGn7W_RsZg,797,29,13
xZOTAgcHMuk,4923,129,1
O6pCNxe0hoE,10415,0,5
zm68UgUfUOk,6536,386,13
YjwOi8ISihE,862,8,0
S5U0JZZKvOY,4971,599,0
CzFrHiTtJuo,797,5,0
rxJfAC1VQ_M,4961,486,66
0kC-dXqDUvU,461,41,2
68SAcAf80EA,3895,152,6
ziL9HtbIMls,721,28,1
QezZnmb_H-g,934,8,1
PrKy5GHPcZ8,451,53,14
wu2pvIF33mM,200,1,0
IHugK23_G9U,689,20,0
cpNYV-59vSA,3,0,0
2ynS3ShLrKI,6630,539,9
LoRYLGzf2ko,1012,4,1
5ArfNSAubRg,1000,16,0
Yofg760f3X0,1687,0,0
ISu6WV_lHbM,4181,114,11
C8NPE1xgS5Y,253,1,0
uhtFxEjfjNg,795,62,2
aqLj_-rKoys,708,58,4
TbIJUKmHnGk,2432,118,2
oHuGejkTHLw,1216,48,0
nWIW1eEsd6A,182,35,7
JqDPdnjes90,1097,13,1
2IBn9U1YHG8,4404,102,0
GmUl48NVGto,451,43,3
qZDIDn2AXGQ,12205,0,0
oBAxwhxa-ig,456,1,0
404Gj1tASEM,2625,60,2
1rlM8QHhGDU,10268,0,3
ag_Gn9bbPn0,4794,668,49
R166wreAg04,589,4,0
wh8W_fx266c,2047,266,23
cXEZATBdjm8,705,46,3
TOabzF7eKjE,750,16,1
2jUi9oyCGKw,3214,477,33
s-0JU6uvrcQ,494,6,0
JrXw5adK3yI,11,0,0
UpztAc3ICfg,1207,10,0
vas4rkaiMwg,2007,329,6
X4dhj5K8rIs,1070,30,1
V0oXQAVoE1c,1220,45,2
z8fc4ew7NPU,4437,0,15
3vJ79WtpnhY,393,36,7
gTs7sSQWrQs,1134,12,0
k-psfPEPnOE,52,8,0
8Pe1cjco28Y,64,10,2
FjQR-5Yybb0,346,2,0
6Mg_twdKXZE,226,13,0
Awpq0OzV6CE,284,16,8
YtBflq-gKrc,15,3,0
I102sSekM7I,521,78,2
wQWqUaguYxs,1487,104,3
A4JxilP8Okg,493,5,0
i5j0AeaFhx4,586,12,0
38f0sDCX_tE,821,7,0
Dif_BrrR7OA,420,131,33
NgleXRIAiCs,743,5,1
P3iEZp6Cs1k,457,29,2
_G-SRV490Sc,252,0,0
fQVGS8s-voU,320,10,0
L5A2GRdIT_w,531,29,1
uPauvwFTSYU,516,46,4
BzEPEWvtMak,4026,79,0
ydfZjQDoNoc,67,0,0
sfluOMiLJ0M,142,5,4
x0s3ivuyvv0,20,0,0
RUn2ePrgv68,10,1,3
D1XeB6wpK6Y,27,0,0
NueEawKtbfk,1123,65,1
nqZHCIoc30M,3035,209,0
EGSguuRmLaU,4736,300,3
URru12SZk6w,254,50,3
RYiJMOSgbH8,529,30,10
_fsRkv_CuCE,1292,413,74
EbzzBfqGC6M,697,19,0
nsdV0pIa4f8,564,39,1
et8fyX3umug,1204,10,0
R4F6Ec8sDvE,1796,110,6
zpIw7_Emijw,750,6,0
5etCJUulruQ,509,85,8
QErHNI8ddLs,403,18,1
UjBwfTDX5EY,5186,0,3
vjqfq08PC_A,22965,887,8
Yv1JcljFNnU,875,0,1
NAzGrgc2o-Q,3737,65,1
N7Xguanmo_w,1,0,0
JUZxhgaGyoY,244,0,0
MdpbbL_xMCM,790,9,0
_BIlXKZUw14,1685,58,0
OQlm-Il9Oi4,4526,295,22
SYNAT-QJTqw,410,90,18
qvK71_8GJcI,91,0,0
U03puHiTcVU,434,3,0
Wa_xITp9Gh8,124,0,0
